_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
227,165452803,17201139,10,2017-10-18T00:01:00,"800 Block Georgia Ave Pittsburgh, PA 15210",Y,Knoxville,3,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(a)(6) Harassment Communicates Repeatedly at Extreme Hours,3001,3,4,-79.99548638,40.40944134
242,165510730,17201624,6,2017-10-18T00:01:00,"1700 Block Leolyn St Pittsburgh, PA 15210",N,Carrick,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,2902,4,4,-79.98608614,40.39897178
2066,166864818,17201139,10,2017-10-18T00:01:00,"800 Block Georgia Ave Pittsburgh, PA 15210",Y,Knoxville,3,TERRORISTIC THREATS,2706 Terroristic Threats. / 2709(a)(6) Harassment Communicates Repeatedly at Extreme Hours,3001,3,4,-79.99548638,40.40944134
33,165450400,17201007,99,2017-10-18T00:10:00,"100 Block Zara St Pittsburgh, PA 15210",Y,Knoxville,3,DRUG INVESTIGATION,9124 Drug Investigation,3001,3,4,-79.98811881,40.4158577
1807,166387572,17212178,0,2017-10-18T00:30:00,"Butler St Pittsburgh, PA 15206",N,Crawford-Roberts,2,99,3926.C1 THEFT OF SERVICES,305,,,0,0
47,165452138,17201149,3,2017-10-18T00:34:00,"2300 Block Centre Ave Pittsburgh, PA 15219",N,Middle Hill,2,ROBBERY,3701 Robbery. / 3304 Criminal Mischief.,501,6,3,-79.97371307,40.44507764
124,165452235,17201150,27,2017-10-18T00:37:00,"Pa Rt 28 & East Ohio St Ramp Pittsburgh, PA 15212",Y,Troy Hill,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3714 Careless Driving,2406,1,1,-80.00167468,40.45329454
251,165520141,17201150,27,2017-10-18T00:37:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Troy Hill,1,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property / 3714 Careless Driving,2406,6,6,-79.99630099,40.43469659
34,165451938,17201161,0,2017-10-18T01:16:00,"6300 Block Howe St Pittsburgh, PA 15206",N,Shadyside,4,99,9999 9999 - (Misc. Incident): Department of Aging Referral,708,8,2,-79.92167729,40.45447082
101,165455102,17201175,13,2017-10-18T02:00:00,"1100 Block W Carson St Pittsburgh, PA 15219",Y,South Shore,3,RECEIVING STOLEN PROPERTY,3925 Receiving Stolen Property. / 1501(A) Valid Driver's License Required / 3736 Reckless Driving / 3809(a) Restriction on Alcoholic Beverages in Vehicle / 3802(a)(1) DUI - General Impairment / 13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use,1921,3,4,-79.98731788,40.42856797
118,165455046,17201208,6,2017-10-18T02:50:00,"5700 Block Baum Blvd Pittsburgh, PA 15206",Y,East Liberty,5,THEFT,3921 Theft by Unlawful Taking or Disposition.,1115,7,2,-79.93376984,40.45830746
48,165453907,17201216,0,2017-10-18T03:25:00,"Preble Ave & Westhall St Pittsburgh, PA 15233",N,Marshall-Shadeland,1,99,9999 9999 - (Misc. Incident): 9999 - (Misc. Incident): Possible Theft from Motor Vehicle,2704,1,1,-80.04012441,40.47213686
243,-2819019496,17201720,5,2017-10-18T05:30:00,"1200 Block Malvern Ave Pittsburgh, PA 15217",N,Squirrel Hill North,4,BURGLARY,3502 Burglary. / 3934 Theft from Vehicle,1401,8,3,-79.93599037,40.44325084
75,165457433,17201246,6,2017-10-18T06:30:00,"2300 Block Fairland St Pittsburgh, PA 15210",N,Overbrook,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,3204,4,4,-79.99405024,40.38687988
96,165466088,17201251,6,2017-10-18T06:30:00,"800 Block Cedar Ave Pittsburgh, PA 15212",N,East Allegheny,1,THEFT FROM AUTO,3934 Theft from Vehicle,2304,1,1,-80.00177907,40.45425544
69,165500003,17201584,6,2017-10-18T06:45:00,"3100 Block Mission St Pittsburgh, PA 15203",N,South Side Slopes,3,THEFT FROM AUTO,3934 Theft from Vehicle,1608,3,4,-79.96574307,40.42069478
126,165466559,17201320,6,2017-10-18T07:00:00,"5300 Block Fair Oaks St Pittsburgh, PA 15217",N,Squirrel Hill North,4,THEFT FROM AUTO,3934 Theft from Vehicle,1401,8,3,-79.93563869,40.44324597
272,165459033,17201258,6,2017-10-18T07:20:00,"Allegheny Ctr Pittsburgh, PA 15212",N,Allegheny Center,1,THEFT FROM AUTO,3934 Theft from Vehicle,2204,1,6,-80.01801474,40.44895425
13,-2799009586,17201462,26,2017-10-18T07:30:00,"200 Block N Bellefield Ave Pittsburgh, PA 15213",N,North Oakland,4,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a)(4) Harassment Communicates Prohibited Acts,403,8,3,-79.95255255,40.44876086
273,165461329,17201267,6,2017-10-18T07:30:00,"5500 Block Hays St Pittsburgh, PA 15206",N,East Liberty,5,THEFT FROM AUTO,3934 Theft from Vehicle,1113,9,2,-79.92959478,40.4704408
3004,166060342,17208758,14,2017-10-18T07:30:00,"Sarah St & Enon Way Pittsburgh, PA 15203",N,South Side Flats,3,CRIM MISCHIEF,3304 Criminal Mischief.,1702,3,4,-79.98583796,40.42765505
137,165474796,17201393,27,2017-10-18T07:50:00,"Baldwin Rd Ramp & E Carson St Pittsburgh, PA 15207",N,Hays,4,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,3101,,,0,0
274,165464025,17201287,6,2017-10-18T07:50:00,"300 Block Richland Ln Pittsburgh, PA 15208",N,Point Breeze,4,THEFT FROM AUTO,3934 Theft from Vehicle,1406,9,3,-79.89801489,40.44501833
937,166403383,17210513,10,2017-10-18T08:00:00,"2400 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,SIMPLE ASSAULT,2701 Simple Assault.,2904,4,4,-79.98355246,40.38692664
275,165465035,17201310,0,2017-10-18T08:30:00,"3800 Block Brighton Rd Pittsburgh, PA 15212",N,Brighton Heights,1,99,2709(a)(2) Harassment by Following Person in Public Place(s),2708,1,1,-80.03569278,40.48455007
276,165466913,17201327,6,2017-10-18T08:30:00,"100 Block Ivory Ave Pittsburgh, PA 15214",N,Summer Hill,1,THEFT FROM AUTO,3934 Theft from Vehicle,2612,1,1,-80.0177672,40.49723603
279,165475048,17201285,21,2017-10-18T08:48:00,"3300 Block Allendale St Pittsburgh, PA 15204",Y,Sheraden,6,DUI - GENERAL IMPAIRMENT,3802(d)(2) DUI - Drug - Impaired Ability / 3802(a)(1) DUI - General Impairment,2022,2,5,-80.06221158,40.45673358
125,-3034011643,17201281,0,2017-10-18T09:10:00,"500 Block Bellaire Ave Pittsburgh, PA 15226",N,Brookline,6,99,9999 9999 - (Misc. Incident): open door,1919,4,4,-80.02320505,40.39720611
97,165468882,17201309,0,2017-10-18T09:21:00,"400 Block Orchard Pl Pittsburgh, PA 15210",N,Knoxville,3,99,9999 9999 - (Misc. Incident): Incident Only ,3001,3,4,-79.99555662,40.41774013
136,165472088,17201374,0,2017-10-18T09:30:00,"1800 Block Wharton St Pittsburgh, PA 15203",N,South Side Flats,3,99,9999 9999 - (Misc. Incident): Suspicious Person,1702,3,4,-79.98034091,40.43050349
228,165471912,17201341,5,2017-10-18T10:00:00,"100 Block 7th St Pittsburgh, PA 15222",N,Central Business District,2,BURGLARY,3502 Burglary.,201,6,6,-80.00099348,40.44413678
277,165469791,17201348,6,2017-10-18T10:35:00,"Reservoir Dr & Farmhouse Dr Pittsburgh, PA 15206",N,Highland Park,5,THEFT FROM AUTO,3934 Theft from Vehicle / 3304 Criminal Mischief.,1106,7,2,-79.91334105,40.47871798
